x linterp linterpInteg
5.58 0.725869 -0.618658
5.59 0.730109 -0.61142
5.6 0.734348 -0.60414
5.61 0.738588 -0.596818
5.62 0.742827 -0.589453
5.63 0.747067 -0.582046
5.64 0.751307 -0.574597
5.65 0.755546 -0.567105
5.66 0.759786 -0.559571
5.67 0.764025 -0.551994
5.68 0.768265 -0.544375
5.69 0.772504 -0.536714
5.7 0.776744 -0.52901
5.71 0.780983 -0.521263
5.72 0.785223 -0.513475
5.73 0.789462 -0.505644
5.74 0.793702 -0.49777
5.75 0.797942 -0.489855
5.76 0.802181 -0.481896
5.77 0.806421 -0.473896
5.78 0.81066 -0.465853
5.79 0.8149 -0.457767
5.8 0.819139 -0.44964
5.81 0.823379 -0.441469
5.82 0.827618 -0.433257
5.83 0.831858 -0.425002
5.84 0.836097 -0.416704
5.85 0.840337 -0.408365
5.86 0.844577 -0.399982
5.87 0.848816 -0.391558
5.88 0.853056 -0.383091
5.89 0.857295 -0.374582
5.9 0.861535 -0.36603
5.91 0.865774 -0.357436
5.92 0.870014 -0.348799
5.93 0.874253 -0.34012
5.94 0.878493 -0.331399
5.95 0.882732 -0.322635
5.96 0.886972 -0.313829
5.97 0.891212 -0.30498
5.98 0.895451 -0.29609
5.99 0.899691 -0.287156
6 0.90393 -0.27818
6.01 0.90817 -0.269162
6.02 0.912409 -0.260102
6.03 0.916649 -0.250999
6.04 0.920888 -0.241854
6.05 0.925128 -0.232666
6.06 0.929367 -0.223436
6.07 0.933607 -0.214163
6.08 0.937847 -0.204849
6.09 0.942086 -0.195491
6.1 0.946326 -0.186092
6.11 0.950565 -0.17665
6.12 0.954805 -0.167165
6.13 0.959044 -0.157638
6.14 0.963284 -0.148069
6.15 0.967523 -0.138457
6.16 0.971763 -0.128803
6.17 0.976002 -0.119107
6.18 0.980242 -0.109368
6.19 0.984482 -0.0995869
6.2 0.988721 -0.0897633
6.21 0.992961 -0.0798972
6.22 0.9972 -0.0699888
6.23 0.9957 -0.060038
6.24 0.99256 -0.0500735
6.25 0.989419 -0.0401322
6.26 0.986279 -0.0302223
6.27 0.983139 -0.0203438
6.28 0.979999 -0.0104968
6.29 0.976859 -0.000681066
6.3 0.973718 0.00910322
6.31 0.970578 0.0188561
6.32 0.967438 0.0285776
6.33 0.964298 0.0382677
